DBN,Year,percent_level3_4
01M332,2017,6.8
01M332,2018,12.5
01M332,2019,12.7
01M361,2013,30.7
01M361,2014,46.7
01M361,2015,53.9
01M361,2016,53.9
01M361,2017,51.8
01M361,2018,55.6
01M361,2019,48.4
01M363,2013,30.1
01M363,2014,45.9
01M363,2015,37.8
01M363,2016,31.3
01M363,2017,34.5
01M363,2018,48.4
01M363,2019,33.3
01M364,2013,31.3
01M364,2014,52.9
01M364,2015,54.8
01M364,2016,48.8
01M364,2017,34.2
01M364,2018,18.4
01M364,2019,17.9
01M378,2013,21
01M378,2014,18.7
01M378,2015,21.8
01M378,2016,28.2
01M378,2017,20.2
01M378,2018,27.5
01M378,2019,34.9
01M450,2013,31.9
01M450,2014,37.2
01M450,2015,46.9
01M450,2016,43.1
01M450,2017,37.6
01M450,2018,50.2
01M450,2019,59.3
01M539,2013,93.8
01M539,2014,95.1
01M539,2015,96.4
01M539,2016,96.5
01M539,2017,97.7
01M539,2018,97
01M539,2019,98.8
01M839,2013,36.9
01M839,2014,49
01M839,2015,46.8
01M839,2016,45.8
01M839,2017,43.9
01M839,2018,49.4
01M839,2019,54.6
02M001,2013,52.6
02M001,2014,60.7
02M001,2015,63.7
02M001,2016,61.1
02M001,2017,60.6
02M001,2018,54.8
02M001,2019,56
02M002,2013,65.2
02M002,2014,69
02M002,2015,68.2
02M002,2016,73.2
02M002,2017,70.9
02M002,2018,72.3
02M002,2019,72.7
02M003,2013,62.9
02M003,2014,71.6
02M003,2015,74.9
02M003,2016,78.2
02M003,2017,74.8
02M003,2018,77.9
02M003,2019,78.9
02M006,2013,77.2
02M006,2014,81.9
02M006,2015,85.6
02M006,2016,85.6
02M006,2017,86.7
02M006,2018,91.4
02M006,2019,89.1
02M011,2013,65.3
02M011,2014,65.4
02M011,2015,66.8
02M011,2016,66.3
02M011,2017,66
02M011,2018,73.3
02M011,2019,74
02M033,2013,48.7
02M033,2014,63.9
02M033,2015,70.3
02M033,2016,69
02M033,2017,67.4
02M033,2018,64.8
02M033,2019,64.2
02M040,2013,72.4
02M040,2014,80.5
02M040,2015,80.8
02M040,2016,84.6
02M040,2017,88.2
02M040,2018,88.6
02M040,2019,86.5
02M041,2013,74.9
02M041,2014,81.1
02M041,2015,87.1
02M041,2016,83.8
02M041,2017,81.6
02M041,2018,86.9
02M041,2019,87.6
02M042,2013,77.1
02M042,2014,82.4
02M042,2015,78.7
02M042,2016,79.1
02M042,2017,76.5
02M042,2018,78
02M042,2019,77.3
02M051,2013,31.9
02M051,2014,38.5
02M051,2015,46.7
02M051,2016,42.1
02M051,2017,55.3
02M051,2018,41.4
02M051,2019,50.9
02M059,2013,72.8
02M059,2014,83
02M059,2015,83.4
02M059,2016,84
02M059,2017,81.9
02M059,2018,82.4
02M059,2019,84.8
02M077,2013,90.9
02M077,2014,93.7
02M077,2015,94.8
02M077,2016,96
02M077,2017,98.3
02M077,2018,98.9
02M077,2019,98.9
02M089,2013,66.5
02M089,2014,72.1
02M089,2015,85.8
02M089,2016,91.1
02M089,2017,85.2
02M089,2018,85.4
02M089,2019,87.3
02M104,2013,56.3
02M104,2014,59.3
02M104,2015,59.8
02M104,2016,61.5
02M104,2017,63.4
02M104,2018,65.5
02M104,2019,74.3
02M111,2013,17.5
02M111,2014,25.3
02M111,2015,23.9
02M111,2016,35.8
02M111,2017,35.9
02M111,2018,42
02M111,2019,47.5
02M114,2013,87.1
02M114,2014,91.7
02M114,2015,91.4
02M114,2016,94.9
02M114,2017,92.7
02M114,2018,95.9
02M114,2019,96.3
02M116,2013,66.4
02M116,2014,71.3
02M116,2015,61.4
02M116,2016,57
02M116,2017,58.3
02M116,2018,66.5
02M116,2019,67
02M124,2013,70.6
02M124,2014,80.5
02M124,2015,80.9
02M124,2016,79.4
02M124,2017,83.5
02M124,2018,90.1
02M124,2019,91.8
02M126,2013,62.7
02M126,2014,63.7
02M126,2015,62.5
02M126,2016,64.2
02M126,2017,65.4
02M126,2018,71.2
02M126,2019,73.5
02M130,2013,70.5
02M130,2014,80.7
02M130,2015,80.8
02M130,2016,82.6
02M130,2017,86.6
02M130,2018,88.3
02M130,2019,86.4
02M131,2013,36.9
02M131,2014,51.7
02M131,2015,53.3
02M131,2016,48.4
02M131,2017,55.7
02M131,2018,60.7
02M131,2019,63.7
02M150,2013,61
02M150,2014,65.8
02M150,2015,71.3
02M150,2016,80.3
02M150,2017,86.5
02M150,2018,91.9
02M150,2019,84.8
02M151,2013,54.9
02M151,2014,54.3
02M151,2015,61.5
02M151,2016,63.3
