,dbn,4yr_pct_ch,6yr_pct_ch,is_co_located,borough_code,economic_need_index_y,total_enrollment,disability,ell,poverty
96,05M692,0.997981837,0.989,FALSE,M,0.379,0.063596491,-0.981290323,,-0.27961165
97,06M293,0.927061311,0.987841945,TRUE,M,0.809,0.032040472,-0.988928571,0.272727273,-0.08680947
98,06M346,0.695652174,0.883054893,FALSE,M,0.914,0.158333333,-0.98865285,-0.555172414,0.006507592
99,06M348,0.736666667,1.014772727,TRUE,M,0.865,0.369230769,-0.988484848,0.024539877,0.058168317
100,06M423,0.842287695,0.987117552,TRUE,M,0.95,-0.152466368,-0.995314286,2.488235294,0.054384018
101,06M462,0.862957938,1.088534107,TRUE,M,0.929,-0.327838828,-0.988930481,0.092741935,-0.022222222
102,06M463,0.906569343,1.059090909,TRUE,M,0.924,-0.330783939,-0.991057692,0.441441441,0.023281596
103,06M467,1.098901099,0.925925926,TRUE,M,0.926,-0.344624448,-0.987330097,0.309090909,0.149484536
104,06M468,0.635416667,0.891816921,TRUE,M,0.935,-0.357371795,-0.989190751,0.546468401,0.014957265
105,06M540,0.880239521,1.05997552,FALSE,M,0.874,0.036029412,-0.982244898,1.425925926,0.083023544
106,06M552,0.737278107,0.852906287,FALSE,M,0.95,0.061099796,-0.980714286,-0.14,-0.06199187
107,07X221,0.909957627,0.923076923,TRUE,X,0.947,0.01242236,-0.988798283,-0.035714286,-0.008350731
108,07X334,0.371257485,0.629834254,TRUE,X,0.95,-0.061784897,-0.979268293,-0.086956522,0.012793177
109,07X379,3.471698113,1.172413793,TRUE,X,0.915,0.135869565,-0.979683544,1.23255814,0.331306991
110,07X381,0.293680297,1.046511628,TRUE,X,0.936,-0.01744186,-0.9875,1.384615385,0.165354331
111,07X427,0.980225989,1.082402235,TRUE,X,0.942,-0.074626866,-0.988193833,1.343434343,0.05808656
112,07X473,1.02,0.969476744,TRUE,X,0.938,-0.122093023,-0.985813953,0.925925926,0.005291005
113,07X495,0.862385321,0.915564598,TRUE,X,0.82,0.246781116,-0.978837209,-0.03125,-0.072142064
114,07X500,0.839002268,0.983660131,TRUE,X,0.879,-0.003724395,-0.988209877,-0.552238806,0.072704082
115,07X527,0.799741602,0.848116646,TRUE,X,0.926,-0.036893204,-0.986872247,-0.091549296,-0.014099783
116,07X547,inf,1.004893964,FALSE,X,,,,,
117,07X548,1.08974359,1,TRUE,X,0.931,-0.132173913,-0.988481013,1.877192982,0.039351852
118,07X551,0.992,1.050618673,TRUE,X,0.95,0.003424658,-0.987219731,0.037878788,0.005446623
119,07X557,0.186046512,0.693877551,TRUE,X,0.912,0.207920792,-0.98822695,0.291139241,0.182692308
120,07X600,0.571748879,0.779463244,TRUE,X,0.898,0.115384615,-0.990627178,0.056603774,0.01793722
