DBN,Cohort Year,pct_Grads
02M529,2011,77.6
02M529,2010,77.5
02M529,2009,77.3
02M531,2013,96.3
02M531,2012,100
02M531,2011,100
02M531,2010,100
02M531,2009,97.8
02M533,2013,90.1
02M533,2012,96.8
02M533,2011,s
02M534,2013,92.7
02M534,2012,95.7
02M534,2011,s
02M542,2013,93.3
02M542,2012,95.8
02M542,2011,95.1
02M542,2010,89.1
02M542,2009,89.5
02M543,2013,94.3
02M543,2012,85.1
02M543,2011,80.4
02M543,2010,91
02M543,2009,91
02M544,2013,58
02M544,2012,43.8
02M544,2011,43.9
02M544,2010,29.5
02M544,2009,32
02M545,2013,100
02M545,2012,99.1
02M545,2011,97.9
02M545,2010,97.7
02M545,2009,100
02M546,2013,88.7
02M546,2012,98.3
02M550,2013,42.1
02M550,2012,50
02M550,2011,48.3
02M550,2010,57
02M550,2009,55.3
02M551,2013,90.5
02M551,2012,92.7
02M551,2011,88.7
02M551,2010,90.1
02M551,2009,87
02M560,2013,61.8
02M560,2012,62.8
02M560,2011,57
02M560,2010,57.1
02M560,2009,57.7
02M565,2013,78.4
02M565,2012,76.7
02M565,2011,76
02M565,2010,74
02M565,2009,57.1
02M570,2013,41.1
02M570,2012,39.2
02M570,2011,51
02M570,2010,57.1
02M570,2009,70.7
02M575,2013,33.9
02M575,2012,38.1
02M575,2011,38.2
02M575,2010,40.6
02M575,2009,36.1
02M580,2013,78.4
02M580,2012,74.1
02M580,2011,75
02M580,2010,80.8
02M580,2009,70.1
02M586,2013,40
02M586,2012,48.5
02M586,2011,56.3
02M586,2010,67.7
02M586,2009,50.9
02M600,2013,96.3
02M600,2012,98
02M600,2011,96.3
02M600,2010,95.5
02M600,2009,94.4
02M605,2013,88
02M605,2012,81.8
02M605,2011,82.7
02M605,2010,91
02M605,2009,85.2
02M615,2013,83.9
02M615,2012,90.2
02M615,2011,91.5
02M615,2010,86.4
02M615,2009,83.1
02M620,2011,s
02M620,2010,57.1
02M620,2009,61.5
02M625,2012,70
02M625,2011,59.9
02M625,2010,70.8
02M625,2009,68.4
02M630,2013,89.1
02M630,2012,89.8
02M630,2011,92.7
02M630,2010,91.6
02M630,2009,92
02M655,2013,80.8
02M655,2012,79.8
02M655,2011,89.8
02M655,2010,86.7
02M655,2009,70.6
03M283,2011,58.2
03M283,2010,58.8
03M283,2009,67.2
03M299,2013,73.8
03M299,2012,73.4
03M299,2011,82.1
03M299,2010,73.9
03M299,2009,79.8
03M307,2013,81.1
03M307,2012,79.5
03M307,2011,78.5
03M307,2010,75.7
03M307,2009,68.7
03M402,2013,84.7
03M402,2012,67.1
03M402,2011,80.5
03M402,2010,61.5
03M402,2009,55.1
03M403,2013,80.8
03M403,2012,87.5
03M403,2011,83.7
03M403,2010,81.3
03M403,2009,61.4
03M404,2013,56
03M404,2012,58.5
03M404,2011,61
03M404,2010,58.8
03M404,2009,49
03M415,2013,86.5
03M415,2012,75.6
03M415,2011,78.6
03M415,2010,67
03M415,2009,64.1
03M417,2013,98.8
03M417,2012,97.4
03M417,2011,98
03M417,2010,100
03M479,2013,100
03M479,2012,99.4
03M479,2011,100
03M479,2010,99.7
03M479,2009,99.2
03M485,2013,98.8
03M485,2012,98.9
03M485,2011,99.1
03M485,2010,99.6
03M485,2009,99.5
03M492,2013,80.8
03M492,2012,87.3
03M492,2011,76.4
03M492,2010,81
03M492,2009,81.7
03M494,2013,82.7
03M494,2012,71.1
03M494,2011,70.3
03M494,2010,72.7
03M494,2009,72
